epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6257.24,0.84943,0.58943,0.90719,0.82853,0.6998,0.76627,0.60099,0.7553,0.49274,0.86676,0.005842,0.005842,0.005842
44,6397.91,0.84231,0.58676,0.90857,0.83169,0.69804,0.76692,0.60035,0.75586,0.49291,0.86847,0.005743,0.005743,0.005743
45,6540.11,0.847,0.58893,0.90843,0.84077,0.69262,0.76558,0.60042,0.75184,0.49324,0.8673,0.005644,0.005644,0.005644
46,6683.13,0.83875,0.58278,0.90476,0.82946,0.69913,0.76604,0.59976,0.75172,0.49245,0.86695,0.005545,0.005545,0.005545
47,6825.62,0.83524,0.5777,0.90684,0.83805,0.69989,0.76985,0.60391,0.74929,0.48967,0.86601,0.005446,0.005446,0.005446
48,6967.56,0.8392,0.58019,0.90607,0.8385,0.70171,0.77062,0.60574,0.74593,0.48728,0.86444,0.005347,0.005347,0.005347
49,7110.29,0.83716,0.57443,0.90624,0.83377,0.7061,0.7707,0.60721,0.74513,0.4863,0.86462,0.005248,0.005248,0.005248
50,7252.99,0.8318,0.57165,0.90432,0.83415,0.70437,0.77045,0.60755,0.74424,0.48524,0.86437,0.005149,0.005149,0.005149
51,7395.27,0.82668,0.56805,0.90416,0.83201,0.70732,0.77065,0.60748,0.74345,0.48469,0.86389,0.00505,0.00505,0.00505
52,7539.57,0.82574,0.56744,0.90282,0.8344,0.70756,0.77152,0.6083,0.74305,0.4838,0.86379,0.004951,0.004951,0.004951
53,7681.9,0.82785,0.56722,0.90258,0.8353,0.70557,0.77139,0.60844,0.74256,0.48351,0.86338,0.004852,0.004852,0.004852
54,7824.63,0.82638,0.5684,0.90273,0.83864,0.70339,0.77298,0.61001,0.74075,0.48185,0.86272,0.004753,0.004753,0.004753
55,7969.13,0.82393,0.56121,0.90127,0.83449,0.70752,0.77393,0.61168,0.74009,0.47996,0.86292,0.004654,0.004654,0.004654
56,8113.19,0.8211,0.56093,0.90037,0.83287,0.71108,0.77561,0.61144,0.73956,0.47987,0.86269,0.004555,0.004555,0.004555
57,8256.23,0.81629,0.55891,0.90008,0.8409,0.70798,0.77576,0.61265,0.73962,0.47902,0.86273,0.004456,0.004456,0.004456
58,8396.13,0.82106,0.5606,0.89858,0.83978,0.70772,0.77644,0.61329,0.73928,0.47771,0.86275,0.004357,0.004357,0.004357
59,8539.37,0.81964,0.55574,0.89992,0.84083,0.70699,0.77618,0.61379,0.73825,0.47677,0.86213,0.004258,0.004258,0.004258
60,8682.77,0.81124,0.55417,0.89718,0.84017,0.70927,0.77749,0.61491,0.73717,0.47572,0.86168,0.004159,0.004159,0.004159
61,8825.86,0.81427,0.55382,0.89882,0.83912,0.71163,0.77806,0.61494,0.7358,0.47404,0.86108,0.00406,0.00406,0.00406
62,8967.94,0.81394,0.55116,0.89779,0.84067,0.71035,0.77831,0.61571,0.73574,0.47339,0.86091,0.003961,0.003961,0.003961
63,9110.82,0.80767,0.54695,0.89702,0.84044,0.71173,0.77912,0.61611,0.73518,0.47229,0.86083,0.003862,0.003862,0.003862
64,9253.86,0.80982,0.5467,0.89531,0.84156,0.71011,0.77903,0.61599,0.73488,0.47182,0.86068,0.003763,0.003763,0.003763
65,9396.56,0.80407,0.54191,0.8948,0.84003,0.71358,0.77947,0.61625,0.73487,0.47145,0.86062,0.003664,0.003664,0.003664
66,9540,0.8,0.54045,0.89476,0.84591,0.71044,0.78027,0.61722,0.73468,0.47034,0.86058,0.003565,0.003565,0.003565
67,9683.52,0.80478,0.54148,0.89504,0.84173,0.71272,0.78063,0.61786,0.7341,0.46983,0.86044,0.003466,0.003466,0.003466
68,9826.63,0.80026,0.53768,0.89452,0.83788,0.7158,0.78141,0.61874,0.73367,0.46916,0.86023,0.003367,0.003367,0.003367
69,9971.79,0.80158,0.54013,0.89461,0.83907,0.71432,0.78133,0.61866,0.7332,0.46858,0.86007,0.003268,0.003268,0.003268
70,10116.8,0.79379,0.52963,0.89217,0.83712,0.71595,0.78157,0.61878,0.73279,0.46811,0.85998,0.003169,0.003169,0.003169
71,10260.8,0.79678,0.5369,0.89348,0.84012,0.7131,0.78201,0.61934,0.73269,0.46768,0.85994,0.00307,0.00307,0.00307
72,10404.3,0.79578,0.53184,0.89254,0.84343,0.71185,0.7823,0.6196,0.73231,0.46749,0.85985,0.002971,0.002971,0.002971
73,10548,0.78627,0.52586,0.88998,0.83632,0.71738,0.78233,0.61934,0.73192,0.46721,0.85973,0.002872,0.002872,0.002872
74,10691.8,0.79345,0.53046,0.89225,0.84086,0.71618,0.78231,0.61953,0.73155,0.46683,0.85968,0.002773,0.002773,0.002773
75,10836.5,0.79078,0.52763,0.88987,0.84001,0.71793,0.78265,0.6199,0.73109,0.46629,0.85952,0.002674,0.002674,0.002674
76,10978.8,0.78201,0.51925,0.88862,0.8379,0.71884,0.78304,0.61984,0.73086,0.4659,0.85943,0.002575,0.002575,0.002575
77,11122.3,0.78741,0.5224,0.89092,0.83815,0.71875,0.78284,0.62,0.73064,0.46558,0.85933,0.002476,0.002476,0.002476
78,11266.2,0.78184,0.52034,0.88848,0.83619,0.71868,0.78289,0.62015,0.73043,0.46549,0.85922,0.002377,0.002377,0.002377
79,11409.5,0.7809,0.51871,0.88832,0.83532,0.71957,0.7831,0.6204,0.73016,0.46523,0.85912,0.002278,0.002278,0.002278
80,11553.5,0.78352,0.51635,0.88811,0.83743,0.71891,0.78318,0.62077,0.72993,0.46473,0.859,0.002179,0.002179,0.002179
81,11696.8,0.78132,0.51479,0.88844,0.84017,0.71799,0.7834,0.62117,0.72961,0.46439,0.85884,0.00208,0.00208,0.00208
82,11841.3,0.77534,0.5095,0.88613,0.84086,0.71729,0.78364,0.62107,0.72929,0.46401,0.85869,0.001981,0.001981,0.001981
83,11986.1,0.76831,0.50752,0.88561,0.84168,0.71717,0.78349,0.62159,0.72899,0.46364,0.8586,0.001882,0.001882,0.001882
84,12129.7,0.77295,0.51103,0.88576,0.84143,0.71711,0.78387,0.62169,0.72891,0.46364,0.85857,0.001783,0.001783,0.001783
85,12273.1,0.77235,0.50655,0.88597,0.84097,0.71719,0.78407,0.62163,0.72891,0.46326,0.85848,0.001684,0.001684,0.001684
86,12418.1,0.76461,0.50206,0.88371,0.83894,0.71859,0.78418,0.62171,0.72867,0.46309,0.85839,0.001585,0.001585,0.001585
87,12562.1,0.77077,0.50642,0.88504,0.84036,0.71845,0.78432,0.62175,0.72848,0.46301,0.8583,0.001486,0.001486,0.001486
88,12705.7,0.7656,0.50056,0.88274,0.8407,0.7181,0.78467,0.62196,0.72825,0.46289,0.8582,0.001387,0.001387,0.001387
89,12848.9,0.76752,0.49938,0.88416,0.84095,0.71827,0.78441,0.62217,0.72806,0.46266,0.85816,0.001288,0.001288,0.001288
90,12993.2,0.76672,0.50153,0.88426,0.8411,0.71788,0.7847,0.6221,0.72795,0.46242,0.85812,0.001189,0.001189,0.001189
91,13131.6,0.74908,0.47135,0.86664,0.84236,0.71709,0.7846,0.62214,0.72789,0.46238,0.85806,0.00109,0.00109,0.00109
92,13268.8,0.73745,0.45963,0.86389,0.84268,0.71741,0.78448,0.62211,0.72788,0.46211,0.85804,0.000991,0.000991,0.000991
93,13408.7,0.73412,0.45751,0.86348,0.84534,0.71629,0.78461,0.62212,0.72795,0.46204,0.85802,0.000892,0.000892,0.000892
94,13545.8,0.7322,0.45406,0.86259,0.84736,0.71543,0.78481,0.62217,0.72789,0.46175,0.85798,0.000793,0.000793,0.000793
95,13683.4,0.73032,0.45132,0.86141,0.848,0.71537,0.78467,0.62239,0.72792,0.46153,0.85796,0.000694,0.000694,0.000694
96,13819.3,0.7281,0.45061,0.8618,0.84762,0.71534,0.78491,0.62245,0.72777,0.46137,0.85791,0.000595,0.000595,0.000595
97,13954.3,0.72634,0.44678,0.86145,0.84775,0.71556,0.78501,0.62261,0.72772,0.46112,0.85789,0.000496,0.000496,0.000496
98,14090.8,0.72414,0.44538,0.86103,0.84792,0.71562,0.78485,0.62263,0.72772,0.46107,0.85786,0.000397,0.000397,0.000397
99,14226.9,0.71972,0.44203,0.85974,0.84677,0.71592,0.78516,0.6228,0.72755,0.46081,0.8578,0.000298,0.000298,0.000298
100,14362.3,0.71969,0.44249,0.85956,0.84669,0.71553,0.7854,0.62294,0.72746,0.46064,0.85774,0.000199,0.000199,0.000199
